Frequencia(Hz),Original_Magnitude,Filtrado_Magnitude
559.30,2340313.680461,2247420.878159
559.40,2339701.239637,2246718.236571
559.50,2339192.195342,2246245.885682
559.60,2340077.418581,2247058.372223
559.70,2340357.775423,2247174.149687
559.80,2339466.820415,2246251.910898
559.90,2339387.171839,2246200.074908
560.00,2340135.938417,2246830.846793
560.10,2339953.677776,2246508.316086
560.20,2339235.464867,2245800.912878
560.30,2339492.183695,2246051.858123
560.40,2340576.080357,2246960.652896
560.50,2339668.149676,2245973.946117
560.60,2339179.897943,2245521.620782
560.70,2340003.092005,2246273.551834
560.80,2340375.784133,2246477.205250
560.90,2339425.158344,2245498.726417
561.00,2339306.431900,2245409.075626
561.10,2340128.001201,2246107.419122
561.20,2340155.920558,2245986.977183
561.30,2339361.563099,2245208.477114
561.40,2339728.497997,2245563.179925
561.50,2340402.051378,2246075.355052
561.60,2339848.874061,2245431.714418
561.70,2339045.869625,2244678.821422
561.80,2340002.950335,2245554.896144
561.90,2340312.034520,2245696.287346
562.00,2339460.811125,2244817.720425
562.10,2339452.840320,2244833.442951
562.20,2340255.105449,2245507.636635
562.30,2340056.780704,2245172.026510
562.40,2339269.230038,2244404.872438
562.50,2339698.002389,2244814.365427
562.60,2340402.995391,2245351.995634
562.70,2339765.542653,2244633.135170
562.80,2339322.968631,2244228.655579
562.90,2340210.489811,2245030.135784
563.00,2340314.820099,2244973.952599
563.10,2339360.971833,2244004.914495
563.20,2339603.893232,2244259.189220
563.30,2340147.653577,2244676.696850
563.40,2340065.937539,2244457.106538
563.50,2339212.902013,2243634.360631
563.60,2339794.563876,2244182.936334
563.70,2340320.911817,2244543.077258
563.80,2339727.618902,2243875.721486
563.90,2339145.598016,2243340.303583
564.00,2340037.171155,2244134.225335
564.10,2340339.510377,2244267.795183
564.20,2339541.185604,2243459.222382
564.30,2339307.218195,2243251.911409
564.40,2340291.612888,2244080.649720
564.50,2340079.617755,2243743.303365
564.60,2339081.925722,2242790.734396
564.70,2339616.238260,2243282.655310
564.80,2340449.407010,2243930.480131
564.90,2339658.540153,2243086.692168
565.00,2339147.704733,2242621.416913
565.10,2340096.687549,2243455.321227
565.20,2340349.114091,2243543.074963
565.30,2339376.914239,2242581.986978
565.40,2339335.238603,2242551.560804
565.50,2340302.790035,2243350.940574
565.60,2339932.576457,2242873.172839
565.70,2339191.525634,2242175.918200
565.80,2339822.048525,2242744.521759
565.90,2340460.248344,2243200.019755
566.00,2339695.846749,2242398.649238
566.10,2339229.796357,2241975.552802
566.20,2340163.621844,2242776.672135
566.30,2340152.481484,2242617.721401
566.40,2339325.560033,2241811.996111
566.50,2339512.425306,2241988.409958
566.60,2340366.874329,2242665.901264
566.70,2339751.929722,2241969.834371
566.80,2339280.928157,2241539.106526
566.90,2339911.707292,2242087.819068
